"","anno","cluster","x_centroid","y_centroid","cells","rep"
"1","Macrophages","c4",479.934466552734,869.789633178711,"1","rep2"
"2","Stromal","c3",481.256988525391,851.689364624023,"2","rep2"
"3","Stromal","c3",490.647247314453,855.816201782227,"3","rep2"
"4","Macrophages","c4",491.177719116211,866.842907714844,"4","rep2"
"5","T_Cells","c6",492.839691162109,842.511190795898,"5","rep2"
"6","T_Cells","c6",499.876834106445,866.357986450195,"6","rep2"
"130","Endothelial","c8",260.211671447754,851.825704956055,"130","rep2"
"135","Myoepithelial","c5",259.564002990723,842.521929931641,"135","rep2"
"145","Stromal","c3",272.725721740723,851.862747192383,"145","rep2"
"162","Stromal","c3",266.423120117187,868.006210327148,"162","rep2"
"163","DCIS","c2",204.130854034424,836.197720336914,"163","rep2"
"164","Myoepithelial","c5",203.569928741455,869.705847167969,"164","rep2"
"165","Myoepithelial","c5",201.196514892578,853.388586425781,"165","rep2"
"166","Myoepithelial","c5",214.570059204102,858.099642944336,"166","rep2"
"167","DCIS","c2",207.557805633545,847.605276489258,"167","rep2"
"168","Myoepithelial","c5",214.765620422363,870.760150146484,"168","rep2"
"169","DCIS","c2",214.483134460449,840.370938110352,"169","rep2"
"170","Macrophages","c4",225.265278625488,852.429379272461,"170","rep2"
"171","Myoepithelial","c5",223.448782348633,866.470928955078,"171","rep2"
"172","DCIS","c2",227.310305786133,842.682446289062,"172","rep2"
"173","T_Cells","c6",224.21683807373,859.031042480469,"173","rep2"
"174","Myoepithelial","c5",227.82140045166,871.285070800781,"174","rep2"
"175","Myoepithelial","c5",233.103576660156,861.686410522461,"175","rep2"
"176","Myoepithelial","c5",240.897673034668,839.433883666992,"176","rep2"
"177","Myoepithelial","c5",235.979460144043,851.567498779297,"177","rep2"
"178","Myoepithelial","c5",241.923260498047,865.874102783203,"178","rep2"
"179","Myoepithelial","c5",246.62303314209,845.527279663086,"179","rep2"
"180","Myoepithelial","c5",245.961590576172,856.202655029297,"180","rep2"
"181","Stromal","c3",254.107925415039,862.495114135742,"181","rep2"
"281","T_Cells","c6",278.912371826172,861.917742919922,"281","rep2"
"282","T_Cells","c6",284.670416259766,860.664688110352,"282","rep2"
"283","Endothelial","c8",284.855653381348,872.947821044922,"283","rep2"
"284","Endothelial","c8",290.045820617676,862.882760620117,"284","rep2"
