"","anno","cluster","x_centroid","y_centroid","cells","rep"
"16438","Myoepithelial","c5",486.246224975586,790.823937988281,"16438","rep1"
"16439","DCIS","c2",478.687637329102,775.051052856445,"16439","rep1"
"16440","Endothelial","c8",490.904779052734,799.275015258789,"16440","rep1"
"16441","T_Cells","c6",378.418246459961,819.407055664062,"16441","rep1"
"16443","DCIS","c2",466.627484130859,764.243695068359,"16443","rep1"
"16444","DCIS","c2",406.403578186035,759.857977294922,"16444","rep1"
"16445","Myoepithelial","c5",491.663003540039,824.992080688477,"16445","rep1"
"16446","Macrophages","c4",377.004130554199,834.677276611328,"16446","rep1"
"16447","Myoepithelial","c5",379.630316162109,778.301794433594,"16447","rep1"
"16448","DCIS","c2",390.986848449707,764.648358154297,"16448","rep1"
"16449","Tumor","c1",490.721954345703,780.842196655273,"16449","rep1"
"16450","DCIS","c2",475.716320800781,761.116064453125,"16450","rep1"
"16451","Tumor","c1",487.614920043945,768.126956176758,"16451","rep1"
"16452","Myoepithelial","c5",376.738116455078,766.309811401367,"16452","rep1"
"16453","DCIS","c2",380.121722412109,757.730331420898,"16453","rep1"
"16454","DCIS","c2",492.803997802734,758.106564331055,"16454","rep1"
"16455","Tumor","c1",419.557852172852,465.338580322266,"16455","rep1"
"16456","DCIS","c2",442.237557983398,466.522064208984,"16456","rep1"
"16457","DCIS","c2",464.267208862305,469.312994384766,"16457","rep1"
"16458","DCIS","c2",408.927404785156,468.650177001953,"16458","rep1"
"16459","DCIS","c2",428.629853820801,470.572897338867,"16459","rep1"
"16460","DCIS","c2",411.18952331543,476.236312866211,"16460","rep1"
"16461","DCIS","c2",440.856671142578,472.560882568359,"16461","rep1"
"16462","DCIS","c2",456.687869262695,474.548919677734,"16462","rep1"
"16463","DCIS","c2",469.800405883789,476.569537353516,"16463","rep1"
"16464","Tumor","c1",423.130897521973,478.41755065918,"16464","rep1"
"16465","DCIS","c2",473.292337036133,480.740161132812,"16465","rep1"
"16466","Tumor","c1",447.384561157227,478.406033325195,"16466","rep1"
"16467","DCIS","c2",434.993933105469,482.26008605957,"16467","rep1"
"16468","Tumor","c1",415.933497619629,480.534509277344,"16468","rep1"
"16469","Tumor","c1",482.094122314453,483.228839111328,"16469","rep1"
"16470","Tumor","c1",422.083338928223,486.510656738281,"16470","rep1"
"16471","DCIS","c2",474.691900634766,487.01181640625,"16471","rep1"
"16472","Tumor","c1",457.056527709961,484.245529174805,"16472","rep1"
"16473","DCIS","c2",463.441333007812,489.08498840332,"16473","rep1"
"16474","DCIS","c2",406.435795593262,490.509350585938,"16474","rep1"
"16475","Tumor","c1",450.682772827148,487.36247253418,"16475","rep1"
"16476","Tumor","c1",442.037612915039,492.77458190918,"16476","rep1"
"16477","Tumor","c1",476.569900512695,494.23053894043,"16477","rep1"
"16478","DCIS","c2",412.507220458984,494.592141723633,"16478","rep1"
"16479","Tumor","c1",451.401516723633,498.154110717773,"16479","rep1"
"16480","DCIS","c2",430.803179931641,497.13010559082,"16480","rep1"
"16481","DCIS","c2",417.696583557129,500.243417358398,"16481","rep1"
"16482","Tumor","c1",466.183444213867,500.083419799805,"16482","rep1"
"16483","Tumor","c1",480.820004272461,503.699447631836,"16483","rep1"
"16484","DCIS","c2",438.779815673828,507.930511474609,"16484","rep1"
"16485","DCIS","c2",454.255117797852,506.515643310547,"16485","rep1"
"16486","DCIS","c2",420.185884094238,510.122695922852,"16486","rep1"
"16487","Tumor","c1",461.840475463867,512.630465698242,"16487","rep1"
"16488","Tumor","c1",481.62331237793,511.901293945312,"16488","rep1"
"16489","Tumor","c1",429.678424072266,515.617346191406,"16489","rep1"
"16490","Tumor","c1",472.699661254883,518.034585571289,"16490","rep1"
"16491","DCIS","c2",408.661001586914,516.969491577148,"16491","rep1"
"16492","Tumor","c1",479.661785888672,518.734808349609,"16492","rep1"
"16493","DCIS","c2",462.599685668945,523.483270263672,"16493","rep1"
"16494","DCIS","c2",415.393350219727,521.643609619141,"16494","rep1"
"16495","DCIS","c2",424.117419433594,525.761679077148,"16495","rep1"
"16496","Tumor","c1",481.774749755859,526.055838012695,"16496","rep1"
"16497","Tumor","c1",450.999758911133,525.680123901367,"16497","rep1"
